DTRHOST.HOST.1 DtrHost.Host.2
DTS.BUFFERMANAGER.1 DTS.BufferManager.2
DTS.CONNECTIONMANAGERADO.1 DTS.ConnectionManagerAdo.2
DTS.CONNECTIONMANAGERADONET.1 DTS.ConnectionManagerAdoNet.2
DTS.CONNECTIONMANAGEREXCEL.1 DTS.ConnectionManagerExcel.2
DTS.CONNECTIONMANAGERFILE.1 DTS.ConnectionManagerFile.2
DTS.CONNECTIONMANAGERFLATFILE.1 DTS.ConnectionManagerFlatFile.2
DTS.CONNECTIONMANAGERFTP.1 DTS.ConnectionManagerFtp.2
DTS.CONNECTIONMANAGERHTTP.1 DTS.ConnectionManagerHttp.2
DTS.CONNECTIONMANAGERMULTIFILE.1 DTS.ConnectionManagerMultiFile.2
DTS.CONNECTIONMANAGERMULTIFLATFILE.1 DTS.ConnectionManagerMultiFlatFile.2
DTS.CONNECTIONMANAGERODBC.1 DTS.ConnectionManagerOdbc.2
DTS.CONNECTIONMANAGEROLAP.1 DTS.ConnectionManagerOlap.2
DTS.CONNECTIONMANAGEROLEDB.1 DTS.ConnectionManagerOleDb.2
DTS.CONNECTIONMANAGERSQLMOBILE.1 DTS.ConnectionManagerSqlMobile.2
DTS.DTSEXPREVALUATOR.1 DTS.DTSExprEvaluator.2
DTS.ERRORCOMPONENT.1 DTS.ErrorComponent.2
DTS.EXECUTEPACKAGETASK.1 SSIS.ExecutePackageTask.2
DTS.FOREACHFILEENUMERATOR.1 DTS.ForEachFileEnumerator.2
DTS.FOREACHITEMENUMERATOR.1 DTS.ForEachItemEnumerator.2
DTS.LOGPROVIDEREVENTLOG.1 DTS.LogProviderEventLog.2
DTS.LOGPROVIDERSQLPROFILER.1 DTS.LogProviderSQLProfiler.2
DTS.LOGPROVIDERSQLSERVER.1 DTS.LogProviderSQLServer.2
DTS.LOGPROVIDERTEXTFILE.1 DTS.LogProviderTextFile.2
DTS.LOGPROVIDERXMLFILE.1 DTS.LogProviderXMLFile.2
DTS.MANAGEDCOMPONENTWRAPPER.1 DTS.ManagedComponentWrapper.2
DTS.PACKAGENEUTRAL.1 DTS.PackageNeutral.2
DTS.PACKAGEREMOTE.1 DTS.PackageRemote.2
DTS.PIPELINE.1 SSIS.Pipeline.2
DTS.PIPELINE.1 DTS.Pipeline.2
DTS.TASKCREATOR.1 DTS.TaskCreator.2
DTSADAPTER.EXCELDESTINATION.1 DTSAdapter.ExcelDestination.2
DTSADAPTER.EXCELSOURCE.1 DTSAdapter.ExcelSource.2
DTSADAPTER.FLATFILEDESTINATION.1 DTSAdapter.FlatFileDestination.2
DTSADAPTER.FLATFILESOURCE.1 DTSAdapter.FlatFileSource.2
DTSADAPTER.OLEDBDESTINATION.1 DTSAdapter.OLEDBDestination.2
DTSADAPTER.OLEDBSOURCE.1 DTSAdapter.OLEDBSource.2
DTSADAPTER.RAWDESTINATION.1 DTSAdapter.RawDestination.2
DTSADAPTER.RAWSOURCE.1 DTSAdapter.RawSource.2
DTSADAPTER.RECORDSETDESTINATION.1 DTSAdapter.RecordsetDestination.2
DTSADAPTER.SQLSERVERDESTINATION.1 DTSAdapter.SQLServerDestination.2
DTSTRANSFORM.AGGREGATE.1 DTSTransform.Aggregate.2
DTSTRANSFORM.BESTMATCH.1 DTSTransform.BestMatch.2
DTSTRANSFORM.CHARACTERMAP.1 DTSTransform.CharacterMap.2
DTSTRANSFORM.CONDITIONALSPLIT.1 DTSTransform.ConditionalSplit.2
DTSTRANSFORM.COPYMAP.1 DTSTransform.CopyMap.2
DTSTRANSFORM.DATACONVERT.1 DTSTransform.DataConvert.2
DTSTRANSFORM.DERIVEDCOLUMN.1 DTSTransform.DerivedColumn.2
DTSTRANSFORM.GROUPDUPS.1 DTSTransform.GroupDups.2
DTSTRANSFORM.LINEAGE.1 DTSTransform.Lineage.2
DTSTRANSFORM.LOOKUP.1 DTSTransform.Lookup.2
DTSTRANSFORM.MERGE.1 DTSTransform.Merge.2
DTSTRANSFORM.MERGEJOIN.1 DTSTransform.MergeJoin.2
DTSTRANSFORM.MULTICAST.1 DTSTransform.Multicast.2
DTSTRANSFORM.OLEDBCOMMAND.1 DTSTransform.OLEDBCommand.2
DTSTRANSFORM.PCTSAMPLING.1 DTSTransform.PctSampling.2
DTSTRANSFORM.PIVOT.1 DTSTransform.Pivot.2
DTSTRANSFORM.ROWCOUNT.1 DTSTransform.RowCount.2
DTSTRANSFORM.ROWSAMPLING.1 DTSTransform.RowSampling.2
DTSTRANSFORM.SCD.1 DTSTransform.SCD.2
DTSTRANSFORM.SORT.1 DTSTransform.Sort.2
DTSTRANSFORM.TERMEXTRACTION.1 DTSTransform.TermExtraction.2
DTSTRANSFORM.TERMLOOKUP.1 DTSTransform.TermLookup.2
DTSTRANSFORM.UNIONALL.1 DTSTransform.UnionAll.2
DTSTRANSFORM.UNPIVOT.1 DTSTransform.UnPivot.2
MICROSOFT.SSIS.GRAPH.2 Microsoft.Ssis.Graph.3
MSDTS.APPLICATION.1 SSIS.Application.2
MSDTS.PACKAGE.1 SSIS.Package.2
SQLTASKCONNECTIONS.SQLTASKCONNECTIONAD.1 SQLTaskConnections.SQLTaskConnectionAD.2
SQLTASKCONNECTIONS.SQLTASKCONNECTIONOD.1 SQLTaskConnections.SQLTaskConnectionOD.2
SQLTASKCONNECTIONS.SQLTASKCONNECTIONOL.1 SQLTaskConnections.SQLTaskConnectionOl.2
SQLNCLI.1 SQLNCLI10.1
SQLNCLI.1 SQLNCLI10
TXFILEEXTRACTOR.EXTRACTOR.1 TxFileExtractor.Extractor.2
TXFILEINSERTER.INSERTER.1 TxFileInserter.Inserter.2
DdsShapes.DdsObjectManagedBridge.1 DdsShapes.DdsObjectManagedBridge.2
\\sqlcl\Team\IS\Test \\dtsautosrv1
\\sqlcl\Team\IS\Test \\dtsdata
sqlcldb2 dtsautosrv1\Sql2005
sqlcldb2 dtsautosrv1
sqlcldb2 dtsdata
SSIS_AdventureWorks AdventureWorks
SSIS_AggregateFVT_M4 Aggregate_FVT_M4
SSIS_AggregateFVT Aggregate_FVT
SSIS_CharMap_FVT CharacterMap_FVT
SSIS_CodeCoverage CodeCoverage
SSIS_CondSplit_FVT ConditionalSplit_FVT
SSIS_Transforms_FVT CopyMap_FVT
SSIS_Logging craigg_DTSlogging
SSIS_TestDataConvert DataConvertNewFVT
SSIS_PerfResult DTSPerfResult
SSIS_RowCountFVT DTSRowCountFVT
SSIS_Logging LoggingFVT
SSIS_LongHaulTest LongHaulTest
SSIS_LookupFVT Lookup_FVT
SSIS_LookupFVT_M4 Lookup_FVT_M4
SSIS_MergeFVT Merge_FVT
SSIS_MergeJoinFVT MergeJoin_FVT
SSIS_PipelineStress_Source PipelineStress_Source
SSIS_PipelineStress_Source MultipleDataFlows_Stress
SSIS_PipelineRework_Oracle PipelineRework_FVT_Oracle
SSIS_PipelineRework_Source PipelineRework_FVT_Source
SSIS_Pivot_FVT Pivot_FVT
SSIS_RawAdapterFVT RawAdapter_FVT
SSIS_RecordsetDest_BVT RecordsetDest_BVT
SSIS_RecordsetDest_FVT RecordsetDest_FVT
SSIS_Repro Repro
SSIS_RowCountFVT RowCount_FVT
SSIS_SamplingFVT Sampling_FVT
SSIS_SCD SCD_FVT
SSIS_ScriptComponent Script_FVT
SSIS_StressTestDB SenarioDB
SSIS_Sort_FVT1 SortEngine
SSIS_SQLCEDest_FVT SQLCEDest_FVT
SSIS_StressSourceDB StressSourceDB
SSIS_StressTestDB StressTestDB
SSIS_Multicast_FVT TxMulticastFVT
SSIS_TransferObjectsFVT_SP2 TransferObjectsTaskFVT
SSIS_UnionAllFVT UnionAll_FVT
SSIS_Unpivot_FVT Unpivot_FVT
SSIS_VirtualStockMarket VirtualStockMarket
SSIS_XMLSrc_FVT XMLSrc_FVT
{D5AFC4E2-6D1B-418A-87FD-F482D7346AEE} {F605FF6D-E988-4F3A-A0BA-C04429608D46}
{A4C77BE2-427D-44AF-9A5D-55DAAD2D2509} {570BAE8C-1543-43BB-B903-CED0ADF00D01}
{E2568105-9550-4F71-A638-B7FE42E66922} {5A0B62E8-D91D-49F5-94A5-7BE58DE508F0}
{DE771935-02E8-4C43-830B-AB4D5979AA4E} {6F7967E3-3693-4CA4-8925-7D1873731D6E}
{5F2826BC-648B-4F3E-B930-587F4EF331D4} {09AD884B-0248-42C1-90E6-897D1CD16D37}
{1579F930-3472-4327-9433-AA9B3D4FA917} {17CB1016-2AA5-4252-8AA4-E4192185EF62}
{1E79E9DE-4495-4200-A8E1-7484FB62A85C} {1430F477-9952-459E-9ACA-259387EDDFF2}
{4F52B1F4-7C95-4F6A-9EE3-C1EDBBB69F49} {2C72ECF4-69EA-4468-A4BC-67E2C592FDF3}
{D62FAB6A-3446-4472-BFEE-647994CCD92C} {FBCB9096-C82E-48B8-84A3-E8DB74991AFF}
{8008F7CE-8D2B-4051-951A-F313CD7519FF} {26E0D6BD-5B15-4238-B096-B57F192D5506}
{94FE2F7E-8616-4E3A-8A60-76728C17033C} {3D9C5FF8-2724-4B36-A67C-864A3F88AC75}
{2C0A8BE5-1EDC-4353-A0EF-B778599C65A0} {BCEFE59B-6819-47F7-A125-63753B33ABB7}
{49B7A561-A9DF-4F1D-8EE5-60FD89BC7993} {80CDACC2-00FC-45C2-B0AD-2A2B1C2908BB}
{6A3A013E-5AFD-4589-96A3-F72A3BD76466} {578FDFD4-E881-4DC3-92FC-C91977CEC730}
{7970D783-6D32-4B07-9478-F23D284C8858} {2CBA022E-B55C-454A-B282-FC8C953535CF}
{8BDFE857-E9D8-4D23-9739-DA807BCDC2AC} {6EC4CC96-66A0-4627-BB8E-02E6DF568924}
{DE50D3C7-41AF-4804-9247-CF1DEB147971} {150E6007-7C6A-4CC3-8FF3-FC73783A972E}
{8BDFE852-E9D8-4D23-9739-DA807BCDC2AC} {B6E1C55D-C79C-443A-AF3F-4FDCC0A51507}
{8BDFE896-E9D8-4D23-9739-DA807BCDC2AC} {5ED5D3DA-354F-4F37-9852-E667E3774060}
{02AF8FB2-1B29-47FF-A2CC-CEF7F0560DAE} {59B0DFC1-DA93-47ED-8419-CEBBE7061180}
{D407C0B4-BDC9-4C00-81DE-81EEAC649850} {41BEBB16-B5A0-4545-8437-AA07203EF401}
{542A9F86-A45E-4B45-863D-45E74CCA88DB} {379AD3CC-A098-40B4-9F54-BCE1B1116A2F}
{B5B2B265-7EE7-4C01-91B6-596861DD3476} {E6E48339-0640-4F92-927D-6DD5A6720F59}
{953A6134-3F6C-40AB-8C17-3E948EC9FF9B} {B5F06F4E-50E9-4749-9D59-F9AA86C11930}
{461B9938-BAAB-453E-AFE4-CAE695AED2FA} {6A2D59FD-670A-49B5-92DF-455BDFFD67C5}
{1C24C8D6-2DA4-48CE-821B-B16637A4C9A2} {3FD997B7-6EF0-4F49-B769-1955D3B650ED}
{C5A43BDC-6DE7-413F-A571-2C69A6D277E1} {50730E5B-7317-4509-A06F-F91FA481EF75}
{1DA5C5C2-896E-4DB7-A2CD-2668094A0830} {BE88CD72-EAEC-4C49-945A-3866F35B5C1C}
{68A3BD24-5B93-4B43-801C-E73AB270408D} {D5B1EFE3-0306-4583-A147-4DD8566C079A}
{6AA833A1-E4B2-4431-831B-DE695049DC61} {94150B25-6AEB-4C0D-996D-D37D1C4FDEDA}
{735D25C7-92EB-4AF7-AB41-523C15726D76} {B18C3C47-D271-4D5D-A375-EF15BC14EACA}
{0724B60F-9B87-4D54-94AC-04D98DAD37F6} {9B534E46-F1AE-4653-AD22-64A85FD1714B}
{4B8D3C9B-E744-4235-B2CA-493F940052ED} {8562C654-6A4F-4B33-909E-4C3A5ABA0AAF}
{03A1ED6A-FA17-4312-9B40-2717D6145563} {00EAA977-774D-48EA-AE09-E0BD8CD05CD7}
{E8DFED5E-4B61-4795-8902-83A71761DB89} {4CF8BA45-15FF-460E-A4CB-FA0C2D4D6B80}
{583A9312-070F-4C56-9220-150C88C1EC60} {1F1AD402-1AD1-4055-A8CA-AC014BBA10DC}
{7FD6F933-B4F5-4A6D-9F0F-E2B55E8D623C} {F74BCDC8-0CFB-4F53-8983-A0C1320AF18E}
{CFADE22A-6C79-42E7-81B6-DE1BC35CEE55} {0B219A8A-5097-42BA-AAD7-0C48D800B578}
{4202C55C-A42E-469D-BDCE-9EC3A600A228} {F911ED06-9DB7-487C-AA14-9F4715E1E463}
{D79A631B-9614-4844-998E-EB50E46BAF3D} {9167A358-C95A-4217-9EEB-C73A81FD6FA5}
{6073F7A8-2734-44B7-926B-95272CF154AD} {7F81939C-C0F6-4054-9186-660DD8F2560B}
{DF81E1A6-6D91-498A-8689-0BD75916697D} {85864348-F482-4E59-83B7-DCD226253CA3}
{FBCE399E-077D-4D8C-BD20-3BAB8A49FC61} {D7E6A77E-4A9C-40A1-8FF2-E24968B92F61}
